,losses
0,
0,
0,
0,
0,
0,
0,
0,
0,"tensor(0.4358, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3721, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3045, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2518, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2083, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1670, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1340, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1165, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0957, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0745, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0586, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0574, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0488, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0572, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0494, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0458, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0737, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0594, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0427, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0424, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0505, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0311, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0406, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0660, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0473, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0805, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0733, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0470, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0726, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0782, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0728, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0599, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0378, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0720, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0869, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0664, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0646, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0757, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0941, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0849, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0771, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0798, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0829, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0755, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0758, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1264, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1344, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1215, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1025, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1624, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
